Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Premises Baited,Number of Premises with Garbage,Number of Premises with Rats,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
05/01/2015,Completed,05/05/2015,15-01719415,Rodent Baiting/Rat Complaint,1,0,3,Dispatch Crew,Inspected and baited,1819 S FARRAR DR,60623,1157647.91628634,1891172.71992519,12,10,29,41.85713484165718,-87.69682503421096,"(41.857134841657, -87.696825034211)"
05/01/2015,Completed,05/07/2015,15-01731829,Rodent Baiting/Rat Complaint,2,4,2,Dispatch Crew,Inspected and baited,2609 W CHICAGO AVE,60622,1158858.26081702,1905235.25639733,26,12,24,41.895699076430446,-87.6919966763074,"(41.89569907643, -87.691996676307)"
05/01/2015,Completed,05/07/2015,15-01726139,Rodent Baiting/Rat Complaint,4,5,4,Dispatch Crew,Inspected and baited,6521 S FRANCISCO AVE,60629,1158169.17850098,1861262.062791,15,8,66,41.77504560896356,-87.69572634252177,"(41.775045608964, -87.695726342522)"
05/01/2015,Completed,05/05/2015,15-01722702,Rodent Baiting/Rat Complaint,2,5,3,Dispatch Crew,Inspected and baited,5161 W BLOOMINGDALE AVE,60639,1141760.34407629,1911480.91016849,37,25,25,41.91317140752701,-87.75463936767677,"(41.913171407527, -87.754639367677)"
05/01/2015,Completed,05/05/2015,15-01724866,Rodent Baiting/Rat Complaint,4,5,4,Dispatch Crew,Inspected and baited,6451 N RICHMOND ST,60645,1155497.97289245,1942650.07470918,50,24,2,41.99843613562446,-87.70332824564834,"(41.998436135624, -87.703328245648)"
05/01/2015,Completed,05/06/2015,15-01713897,Rodent Baiting/Rat Complaint,1,4,3,Dispatch Crew,Inspected and baited,1616 W CATALPA AVE,60640,1164560.4667192,1936598.65432841,40,20,77,41.9816430545493,-87.67016267690875,"(41.981643054549, -87.670162676909)"
05/01/2015,Completed,05/05/2015,15-01724725,Rodent Baiting/Rat Complaint,4,6,4,Dispatch Crew,Inspected and baited,4500 S WASHTENAW AVE,60632,1159120.41371163,1874717.77787908,12,9,58,41.81195050313069,-87.69187115851035,"(41.811950503131, -87.69187115851)"
05/01/2015,Completed,05/05/2015,15-01718506,Rodent Baiting/Rat Complaint,3,4,3,Dispatch Crew,Inspected and baited,5452 N CAMPBELL AVE,60625,1158687.63321664,1936132.08569204,40,20,4,41.98048550916313,-87.69177411410737,"(41.980485509163, -87.691774114107)"
05/01/2015,Completed - Dup,05/04/2015,15-01735088,Rodent Baiting/Rat Complaint,,,,,,2730 N ALBANY AVE,60647,1155239.75837484,1917988.81197863,35,14,22,41.93076936654358,-87.70494347990243,"(41.930769366544, -87.704943479902)"
05/01/2015,Completed,05/05/2015,15-01718369,Rodent Baiting/Rat Complaint,3,5,6,Dispatch Crew,Inspected and baited,921 W 31ST PL,60608,1170678.61567849,1884011.2999221,11,9,60,41.83720825593858,-87.64920458103981,"(41.837208255939, -87.64920458104)"
